event,fight,fighter1,fighter2
"

  UFC Fight Night: Nzechukwu vs. Cutelaba

   ",<200 http://ufcstats.com/fight-details/bd064deb3494b41a>,http://ufcstats.com/fighter-details/2c483cf443f38ece,http://ufcstats.com/fighter-details/37d752ec41ed84bb
"

  UFC Fight Night: Nzechukwu vs. Cutelaba

   ",<200 http://ufcstats.com/fight-details/a3696c847ef6c7f9>,http://ufcstats.com/fighter-details/7af33fc4435017f1,http://ufcstats.com/fighter-details/9e92e1ca498d7244
"

  UFC Fight Night: Nzechukwu vs. Cutelaba

   ",<200 http://ufcstats.com/fight-details/33719a2d9c69ed17>,http://ufcstats.com/fighter-details/262d32ebda89efc4,http://ufcstats.com/fighter-details/59c438c81fbf3ece
"

  UFC 281: Adesanya vs. Pereira

   ",<200 http://ufcstats.com/fight-details/04f32bb0c0d3a8cc>,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,http://ufcstats.com/fighter-details/e5549c82bfb5582d
"

  UFC 281: Adesanya vs. Pereira

   ",<200 http://ufcstats.com/fight-details/85b5d59f8eea976a>,http://ufcstats.com/fighter-details/d910665038efc639,http://ufcstats.com/fighter-details/1ebe20ebbfa15e29
"

  UFC 281: Adesanya vs. Pereira

   ",<200 http://ufcstats.com/fight-details/4bf3010fdeea9d93>,http://ufcstats.com/fighter-details/029eaff01e6bb8f0,http://ufcstats.com/fighter-details/4b93a88f3b1de35b
"

  UFC 281: Adesanya vs. Pereira

   ",<200 http://ufcstats.com/fight-details/09afa6ce4747a1a2>,http://ufcstats.com/fighter-details/f2688492b9a525a3,http://ufcstats.com/fighter-details/45f0cc9d18f35137
"

  UFC 281: Adesanya vs. Pereira

   ",<200 http://ufcstats.com/fight-details/77c78d0a71b10692>,http://ufcstats.com/fighter-details/193b9d1858bc4df3,http://ufcstats.com/fighter-details/d747eb273a40a920
"

  UFC 281: Adesanya vs. Pereira

   ",<200 http://ufcstats.com/fight-details/1f922cfe6178e830>,http://ufcstats.com/fighter-details/37ed1ab2f8b819f4,http://ufcstats.com/fighter-details/b6452706b373eea1
"

  UFC 281: Adesanya vs. Pereira

   ",<200 http://ufcstats.com/fight-details/6f22afbc5f8e0bd3>,http://ufcstats.com/fighter-details/2e19380f34871c6a,http://ufcstats.com/fighter-details/a67f5afa8d6a1b80
"

  UFC 281: Adesanya vs. Pereira

   ",<200 http://ufcstats.com/fight-details/93da91272d4a7ce3>,http://ufcstats.com/fighter-details/669970f7feba8ecd,http://ufcstats.com/fighter-details/51018a31ddf31eb2
"

  UFC 281: Adesanya vs. Pereira

   ",<200 http://ufcstats.com/fight-details/65ce9335b93d9c57>,http://ufcstats.com/fighter-details/5f61780fe5e9b6d0,http://ufcstats.com/fighter-details/4dcfb28c011c11b2
"

  UFC 281: Adesanya vs. Pereira

   ",<200 http://ufcstats.com/fight-details/40707ddc9fdea500>,http://ufcstats.com/fighter-details/dccb63727f2f5f74,http://ufcstats.com/fighter-details/ee18ff42063174df
"

  UFC 281: Adesanya vs. Pereira

   ",<200 http://ufcstats.com/fight-details/ff2e4b411f695017>,http://ufcstats.com/fighter-details/d7c3816669784109,http://ufcstats.com/fighter-details/b4880ef2f838d4e1
"

  UFC 281: Adesanya vs. Pereira

   ",<200 http://ufcstats.com/fight-details/7f93b2f38497caec>,http://ufcstats.com/fighter-details/5bf31a46becc1204,http://ufcstats.com/fighter-details/a68575214ecad140
